"10","Uncooked frogs","Nous venons déjeuner dans cet établissement sympathique par ailleurs
Lors de la commande de demande un plat de grenouilles. La serveuse fort aimable par ailleurs me demande “rosé ou à point ? “ surpris je réponds à point.
Quelques minutes après un plat de rognons..."
"50","Très bon restaurant ","Très joli cadre, beau bar,...
Accueil parfait, service irréprochable
Produits frais, assiette copieuse bien présentée
Je recommande ce lieu"
"40","Très sympa","Grande salle de restaurant, beau bar, grande terrasse (si on peut en profiter). Accueil sympathique, service idem. L'addition est tout de même un peu élevé pour une cuisine pas vraiment complexe ou raffinée, on profite de la gastronomie locale et c'est très bien. On charge..."
"50","Très bon restaurant, qui mériterait d'être ailleurs qu'à Grenoble !","Beau cadre, bon accueil, bonne nourriture simple et régionale, prix raisonnable, que demander de plus, sinon que ce joli endroit, sur une jolie place, soit dans une ville plus agréable et plus sûre..."
"50","A ne pas manquer","Dans le centre historique de Grenoble en face du Palais du Parlement Dauphinois et proche du téléphérique de la Bastille. Cet établissement, qui a été ouvert en 1739, en vaut carrément le détour. Comme évoqué précédemment le site est unique et les plaisirs de la..."
"50","Très sympa","Cadre chaleureux avec le personnel très serviable. Le serveur m’a même offert un verre de chartreuse après le repas."
"40","Incontournable","L'un des plus vieux bar de France situé sur 1 très belle place en face de l'ancien Palais de Justice.
Grande terrasse très calme puisqu'il s'agit d'une place piétonne.
Restaurant Brasserie certes 1 peu cher mais plat du jour proposé à midi à 1 prix..."
"50","Convivial et efficace","Que se soit pour boire un verre.manger sur le pouce ou prendre le temps. . L'endroit idéal.
Cuisine maison mention spéciale pour la volaille au bleu.l assiette terre mer et la tarte au noix
On ne s en lasse pas."
"20","Déception ","J'ai plusieurs choses à redire sur mon passage dans ce restaurant :
- service plus que moyen : serveuse qui un coup rigole en annonçant le prix du poisson du jour qui a changé comme si c'était une blague (alors qu'effectivement le prix n'était pas..."
"10","mauvais accueil ","Allant au café de la table ronde de temps en temps entre amis, dans un joli cadre agréable. La dernière fois nous a assez déplu, le gérant été exécrable dans sa façon de faire et d’agir nous a limite insulter « tu fais c**** » en se..."
"40","Très bien reçu","Serveur très agréable, service rapide et bon dīner. Que demander de plus! L'hypo c'est toujours simple et efficace!"
"30","PLUS QUE MOYEN","Enseigne connue, mais c'est tout. Accueil et service correct. Repas moyen.
Établissement pas très propre et surtout dangereux. Vous entrez ou devant le bar, il manque du carrelage, ou lorsqu'il pleut, c'est très glissant, mais ça, on ne le dis pas, espérant probablement la chute...."
"40","Diner sympa et correct","Nous sommes arrivés un vendredi soir très tôt et la météo étant désastreuse ce jour la, il y avait très peu de monde dans les rues et dans les restos du quartier.
De ce fait, nous n'avons pas expérimenté de problème d'attente évoqués par certains..."
"20","à éviter ","table de 9 ,
seul point positif le service
serveurs et serveuse très agréables avec nous
qualité du repas médiocre🤨
malgré le digestif offert
courants d air partout ampoules qui ""tremblent""!"
"20","Déçu !","Nous sommes arrivés avec ma femme, nous avons attendu plus de 40m avant d’être servi , la serveuse nous a dit qu’il y avait un groupe de 30 personnes qui venez d’arriver l’étage, et qu’ils avaient du mal à s’en sortir inadmissible....."
"30","Beaucoup d'attente ","Carte des boissons et des plats attrayante.
Une première serveuse nous commande les boissons ( d'ailleurs, ce restaurant propose en pression la furtive qui est une biere artisanale venant de sassenage) et reviens quelque instant après pour les plats, a ce moment la nous n'avions..."
"40","Très correct","Choisi parce que le menu enfant convenait à mon enfant de 2 ans (et à moi aussi avec un steak haché bio!), le moment s’est transformé de manière agréable avec un accueil sympathique, une belle terrasse sur cette place Grenette, et un bon rapport qualité..."
"40","Belle amélioration","Nette amélioration des prestations, restaurant où la viande est excellente, les frites sont bien meilleures, encore un peu d'amélioration et elles seront au top"
"30","A oublier","Brochette de boeuf avec les morceaux les moins noble : gras, nerf.
Les frites molles.
La sauces : de l'eau.
Un cafard comme jamais vu au milieu des toilettes.
Un restau à vite oublier."
"50","Au top ","Viande vraiment bonne, super accueil du serveur marseillais au top du top. Nous avons passer un agréable moment."
"10","Catastrophique !","Très décevant. Pas de chauffage au restaurant, désordre partout, nappe tachée.
Couscous et tajine qui sont servis froids. Des légumes fades et insipides.
Bref inmangeable !
A fuire...."
"50","traditionnel et excellent","tout petit restaurant ou l'on est très bien reçu, une confirmation de tout ce qui est écrit, plus bas, c'est bon, copieux, fait maison, et avec le sourire, un petit voyage au Maroc assuré... on recommande"
"50","Super","Très bon restaurant de quartier. Le propriétaire est très sympa. Ambiance conviviale Je recommande sans hésitation!"
"50","Tres bien reçu.super acceuil","Nous sommes de Chambéry et de passage dans la région grenobloise nous avons mangé dans ce petit restaurant marocain le dimanche de Pâques .Le patron est super sympa et très accueillant. La salle est petite mais plaisante.La nourriture est bonne nous avons bien mangé ...."
"50","Exellente surprise","Très bon restaurant marocain
Prix très interessant et cuisine succulente accueil vraiment très sympathique
jolie petite salle bien décorée"
"50","Savoureux et délicieux","Nous prenons régulièrement des couscous à emporter : ils sont délicieux et copieux.
Pour la première fois, nous avons déjeuné au restaurant ; nous en avons profité pour testé toutes les autres spécialités (brick, tagines, pastillas, salade de Hammous, soupe...) Bref, tout est un régal,..."
"50","Très bon repas marocain, copieux et peu cher","Une très bonne adresse si vous voulez des plats marocains copieux, bien cuisinés et pas chers.
L accueil est très chaleureux, le tagine excellent et bien servi, de façon traditionnelle avec du pain et pas de la semoule.
J'y reviendrai en famille un soir pour..."
"50","A savourer","Très bon restaurant oriental l'accueil est challeureux Hassan le propriétaire est trop gentil
A recommander fortement ...."
"50","très bonne soirée au petit marocain","accueil top patron très sympa - couscous excellent - resto très propre - ambiance marocaine - les plats sont très bien présentés - bref rien à redire très bonne soirée"
"50","Super, super, super !","Excellent accueil, très souriant et généreux. Plats copieux, traditionnels et délicieux. Prix bas pour la qualité, on y retournera !"
"50","Du pur bonheur","Toujours un plaisir de revenir ici et de faire découvrir cet endroit merveilleux aux amis.
Les pancakes et le Tauranga miam un vrai délice 😊"
"50","Parfait pour un goûter entre amis ","Carrot cake et chai latte à tomber !
Salle ambiance cosy où on se sent comme chez soi :-)
Victime de son succès, pas toujours facile d’avoir une table par contre ..."
"50","Au top","C'est, selon moi, le meilleur endroit pour bruncher à Grenoble!! La décoration est super cozy, et le personnel sympathique, on se sent vraiment bien dans ce café. La carte sort de l'ordinaire et assez vaste, il y en a pour tous les goûts et pour..."
"50","Chili:)","Super coin pr bruncher
Par contre attention ne pas arriver trop tard, victime de son succès , s inscrire sur la liste deja et arriver pr bien avant 13h le dimanche pr bruncher car l cuisine ferme à 13h du coup il faut commander avant..."
"20","Victime de votre succès ou pas encore bien adapté pour le brunch du dimanche. Obligé de faire la queue 40mn dans la rue!","Dimanche matin 10h30, nous sommes 4 et nous souhaitons prendre un Brunch, on nous prévient qu’il faut faire la queue au travers d’une liste d’attente au comptoir. Délais d’attente inconnue, au moins 40mn selon la fille au comptoir. J’explique que j’ai essayé de téléphoner pour..."
"50","Un goût de paradis...","Un endroit minimaliste en façade mais qui cache un joyaux à l’exploration. Un vrai brunch sur Grenoble qui des 9h le dimanche vous propose du sucré et du salé dans la bonne humeur. Les mets solides et liquides sont d’une très grande qualité gustative et..."
"50","Copieux et bon !","Un bon plan pour déjeuner sur Grenoble. Les PanCake sont délicieux et très copieux !
Le cadre est idéal et calme.
Service rapide et sympa"
"50","Un Must à Grenoble...","...si vous souhaitez profiter d’un moment de détente dans un endroit convivial, avec un personnel souriant, disponible & accueillant, en dégustant des préparations-maison, tant salées que sucrées, qui valent le détour !
Mention spéciale à... tout ce qui a été posé sur notre table -..."
"40","Bon moment","Accueil sympathique et brunch de qualité.
Victime de son succès (attente pour avoir une table, service un peu long), ce resto permet toutefois de prendre le temps un dimanche matin.
Les plats sont originaux et simples."
"40","Super brunch","L'endroit est petit et nous étions un peu à l'étroit avec les enfants mais le reste nous a vite fait oublier ce tout petit bemol. Produits frais et savoureux, personnel accueillant et ambiance conviviale , carrot cake délicieux. Un super brunch de qualité, merci."
"50","Très bonnes saveurs","Personnel charmant, Nous nous sommes régalés.
Les prix des menus sont corrects et vous mangerez à votre faim.
Bonne adresse."
"50","Dépaysement assuré","Nous sommes allés déjeuner en famille un samedi dans cet établissement.
Très bon accueil du patron, toujours souriant.La carte est restreinte à midi par rapport au diner mais largement suffisante pour découvrir de nouvelles saveurs et être rassasiés .
Plats principaux entre 10 et 12..."
"50","Très bon moment","Restaurant convivial avec un accueil très souriant. Les plats sont très bons et suffisamment copieux. Le lieu chaleureux, l’excellent accueil et la qualité de leurs plats nous feront revenir sans hésitation !"
